caseid,task,start_timestamp,end_timestamp
Case00,Stress Relief,2021-02-16 20:55:31.116232,2021-02-16 20:55:31.116232
Case00,Round  Q.C.,2021-02-17 08:39:32.455248,2021-02-17 12:02:21.931948
Case00,Round Grinding,2021-02-17 15:44:48.851628,2021-02-17 15:44:48.851628
Case00,Laser Marking,2021-02-17 19:29:50.016780,2021-02-17 23:13:58.237701
Case00,Milling,2021-02-17 23:13:58.237701,2021-02-17 23:13:58.237701
Case00,Turning Rework,2021-02-17 23:13:58.237701,2021-02-17 23:13:58.237701
Case00,Fix,2021-02-16 16:57:13.922728,2021-02-16 20:31:01.428126
Case00,Lapping,2021-02-18 02:35:52.998584,2021-02-18 02:35:52.998584
Case00,Milling Q.C.,2021-02-18 08:21:17.154451,2021-02-18 10:27:08.212267
Case00,Turn & Mill. & Screw Assem,2021-02-18 10:27:08.212267,2021-02-18 10:27:08.212267
Case00,Round  Q.C.,2021-02-18 10:27:08.212267,2021-02-18 13:29:11.946217
Case00,Laser Marking,2021-02-18 15:03:07.345463,2021-02-18 15:03:07.345463
Case00,Turning,2021-02-18 17:37:46.276747,2021-02-18 21:49:13.962523
Case00,Turning,2021-02-18 03:13:11.546732,2021-02-18 08:21:17.154451
Case00,Turning Rework,2021-02-16 15:46:14.993666,2021-02-16 16:57:13.922728
Case00,Round  Q.C.,2021-02-17 23:22:19.579862,2021-02-18 01:37:59.345005
Case00,Round  Q.C.,2021-02-16 09:51:26.278721,2021-02-16 12:17:27.293039
Case00,Turning Q.C.,2021-02-13 12:37:25.724680,2021-02-13 12:37:25.724680
Case00,Round  Q.C.,2021-02-13 12:37:25.724680,2021-02-13 16:24:21.436464
Case00,Rework Milling,2021-02-13 16:24:21.436464,2021-02-13 17:36:53.437642
Case00,Nitration Q.C.,2021-02-13 18:03:31.902357,2021-02-13 18:03:31.902357
Case00,Lapping,2021-02-14 08:48:37.895056,2021-02-14 10:40:55.505182
Case00,Round  Q.C.,2021-02-14 12:20:14.024140,2021-02-14 12:20:14.024140
Case00,Packing,2021-02-14 13:22:12.379510,2021-02-14 18:10:00.546720
Case00,Grinding Rework,2021-02-14 18:10:00.546720,2021-02-14 18:31:52.476840
Case00,Laser Marking,2021-02-14 18:31:52.476840,2021-02-14 18:31:52.476840
Case00,Grinding Rework,2021-02-16 02:14:49.093509,2021-02-16 04:05:56.631675
Case00,Round  Q.C.,2021-02-16 04:41:23.209398,2021-02-16 04:41:23.209398
Case00,Flat Grinding,2021-02-16 09:45:37.332555,2021-02-16 09:51:26.278721
Case00,Turning,2021-02-16 09:51:26.278721,2021-02-16 09:51:26.278721
Case00,Grinding Rework,2021-02-16 14:51:32.840477,2021-02-16 14:51:32.840477
Case01,Fix,2021-02-13 18:09:28.381454,2021-02-13 18:09:28.381454
Case01,Round Grinding,2021-02-13 15:21:07.541613,2021-02-13 21:04:01.088118
Case01,Lapping,2021-02-13 12:37:25.724680,2021-02-13 15:19:41.755235
Case02,Change Version,2021-02-13 14:46:18.020861,2021-02-13 15:24:35.049319
Case02,Flat Grinding,2021-02-13 19:31:07.989399,2021-02-13 19:43:29.168078
Case02,Setup,2021-02-13 17:36:53.437642,2021-02-13 17:36:53.437642
Case02,Turning Rework,2021-02-14 06:15:13.181997,2021-02-14 09:03:39.646431
Case03,Rework Milling,2021-02-14 12:20:14.024140,2021-02-14 13:20:50.488021
Case03,Final Inspection,2021-02-15 23:45:24.342456,2021-02-16 01:46:30.227165
Case03,Stress Relief,2021-02-14 18:31:52.476840,2021-02-15 00:14:12.488866
Case03,Lapping,2021-02-14 18:33:24.176202,2021-02-14 18:33:24.176202
Case03,Flat Grinding,2021-02-14 12:08:53.100535,2021-02-14 16:54:51.169287
Case03,Round  Q.C.,2021-02-14 11:16:36.350218,2021-02-14 12:54:22.659336
