caseid,task,start_timestamp,end_timestamp
Case000,Evaluacion curso,2021-02-14 02:08:07.133782,2021-02-14 04:32:12.315295
Case000,Validar solicitud,2021-02-14 04:32:12.315295,2021-02-14 13:16:09.773906
Case000,Homologacion por grupo de cursos,2021-02-14 13:16:09.773906,2021-02-14 14:24:03.041533
Case000,Evaluacion curso,2021-02-14 21:30:01.564902,2021-02-15 08:46:07.464846
Case001,Visto Bueno Cierre Proceso,2021-02-14 15:22:59.546350,2021-02-14 20:53:32.106651
Case001,Notificacion estudiante cancelacion soli,2021-02-14 04:32:12.315295,2021-02-14 04:32:12.315295
Case001,Evaluacion curso,2021-02-14 13:16:09.773906,2021-02-14 17:27:09.596465
Case001,Traer informacion estudiante - banner,2021-02-15 05:20:43.423384,2021-02-16 11:54:42.379454
Case002,Avanzar recepcion documentos,2021-02-14 14:24:03.041533,2021-02-15 07:06:28.048476
Case002,Avanzar recepcion documentos,2021-02-14 13:16:09.773906,2021-02-14 13:16:09.773906
Case002,Validar solicitud,2021-02-14 04:32:12.315295,2021-02-14 04:32:12.315295
Case002,Validacion final,2021-02-13 10:55:58.441537,2021-02-15 01:36:45.804055
Case003,Homologacion por grupo de cursos,2021-02-14 21:31:41.101678,2021-02-14 21:31:41.101678
Case003,Traer informacion estudiante - banner,2021-02-14 04:32:12.315295,2021-02-14 04:32:12.315295
Case003,Visto Bueno Cierre Proceso,2021-02-14 13:16:09.773906,2021-02-15 03:13:50.788272
Case003,Avanzar recepcion documentos,2021-02-14 14:24:03.041533,2021-02-14 19:09:09.278420
Case004,Evaluacion curso,2021-02-14 05:55:28.332131,2021-02-14 05:55:28.332131
Case005,Evaluacion curso,2021-02-14 21:30:01.650996,2021-02-15 08:46:07.550940
Case005,Validar solicitud,2021-02-14 04:32:12.401389,2021-02-14 13:16:09.860000
Case005,Homologacion por grupo de cursos,2021-02-14 13:16:09.860000,2021-02-14 14:24:03.127627
Case005,Evaluacion curso,2021-02-14 02:08:07.219876,2021-02-14 04:32:12.401389
Case006,Visto Bueno Cierre Proceso,2021-02-14 15:22:59.632444,2021-02-14 20:53:32.192745
Case006,Notificacion estudiante cancelacion soli,2021-02-14 04:32:12.401389,2021-02-14 04:32:12.401389
Case006,Evaluacion curso,2021-02-14 13:16:09.860000,2021-02-14 17:27:09.682559
Case006,Traer informacion estudiante - banner,2021-02-15 05:20:43.509478,2021-02-16 11:54:42.465548
Case007,Validacion final,2021-02-13 10:55:58.527631,2021-02-15 01:36:45.890149
Case007,Validar solicitud,2021-02-14 04:32:12.401389,2021-02-14 04:32:12.401389
Case007,Avanzar recepcion documentos,2021-02-14 13:16:09.860000,2021-02-14 13:16:09.860000
Case007,Avanzar recepcion documentos,2021-02-14 14:24:03.127627,2021-02-15 07:06:28.134570
Case008,Homologacion por grupo de cursos,2021-02-14 21:31:41.187772,2021-02-14 21:31:41.187772
Case008,Avanzar recepcion documentos,2021-02-14 14:24:03.127627,2021-02-14 19:09:09.364514
Case008,Visto Bueno Cierre Proceso,2021-02-14 13:16:09.860000,2021-02-15 03:13:50.874366
Case008,Traer informacion estudiante - banner,2021-02-14 04:32:12.401389,2021-02-14 04:32:12.401389
Case009,Evaluacion curso,2021-02-14 05:55:28.418225,2021-02-14 05:55:28.418225
Case010,Homologacion por grupo de cursos,2021-02-14 13:16:09.757759,2021-02-14 14:24:03.025386
Case010,Evaluacion curso,2021-02-14 02:08:07.117635,2021-02-14 04:32:12.299148
Case010,Validar solicitud,2021-02-14 04:32:12.299148,2021-02-14 13:16:09.757759
Case010,Evaluacion curso,2021-02-14 21:30:01.548755,2021-02-15 08:46:07.448699
Case011,Traer informacion estudiante - banner,2021-02-15 05:20:43.407237,2021-02-16 11:54:42.363307
Case011,Notificacion estudiante cancelacion soli,2021-02-14 04:32:12.299148,2021-02-14 04:32:12.299148
Case011,Evaluacion curso,2021-02-14 13:16:09.757759,2021-02-14 17:27:09.580318
Case011,Visto Bueno Cierre Proceso,2021-02-14 15:22:59.530203,2021-02-14 20:53:32.090504
Case012,Validacion final,2021-02-13 10:55:58.425390,2021-02-15 01:36:45.787908
