caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,rp_start_oc,start_timestamp
Case1,Create Purchase Requisition,res_84a348e7-0667-45d2-9636-da1ffad3cc23,Role 1,2011-06-20 20:20:40,41,0,0.0,2011-06-20 20:12:33
Case2,Create Purchase Requisition,res_7fa4f422-7a92-4e85-b658-1f4fcb6a3c3e,Role 1,2011-06-20 22:26:51,42,0,0.0,2011-06-20 22:18:50
Case3,Create Purchase Requisition,res_25fc430a-84f5-45e4-9c79-275faaee1a60,Role 1,2011-06-21 01:45:03,43,0,0.0,2011-06-21 01:35:50
Case4,Create Purchase Requisition,res_25fc430a-84f5-45e4-9c79-275faaee1a60,Role 1,2011-06-21 03:03:01,44,0,0.0,2011-06-21 02:53:51
Case5,Create Purchase Requisition,res_3350e0d7-bf8e-458e-b7da-3cd36e1cc4c3,Role 1,2011-06-21 05:34:40,45,0,0.0,2011-06-21 05:25:35
Case4,Create Request for Quotation,res_3350e0d7-bf8e-458e-b7da-3cd36e1cc4c3,Role 3,2011-06-21 05:47:28,45,0,0.0,2011-06-21 05:31:09
Case6,Create Purchase Requisition,res_49177467-d705-4fb0-958f-1b1fa021bf8f,Role 1,2011-06-21 06:25:33,46,0,0.0,2011-06-21 06:16:30
Case7,Create Purchase Requisition,res_24d952ac-86dd-4dec-ba66-037fa4de7f15,Role 1,2011-06-21 07:14:00,47,0,0.0,2011-06-21 07:04:58
Case5,Create Request for Quotation,res_411bf95c-b291-4ad0-a54f-fcb5540a2cef,Role 3,2011-06-21 08:20:05,47,0,0.0,2011-06-21 08:03:37
Case8,Create Purchase Requisition,res_868eef32-1048-4e05-a3b6-cbc7d945c9a5,Role 1,2011-06-21 09:36:27,48,0,0.0,2011-06-21 09:27:29
Case7,Create Request for Quotation,res_3350e0d7-bf8e-458e-b7da-3cd36e1cc4c3,Role 3,2011-06-21 10:01:12,48,0,0.0,2011-06-21 09:44:36
Case9,Create Purchase Requisition,res_e107f046-4e5a-4b66-a8b3-efcb71dcdb38,Role 1,2011-06-21 10:24:59,49,0,0.0,2011-06-21 10:16:02
Case8,Create Request for Quotation,res_411bf95c-b291-4ad0-a54f-fcb5540a2cef,Role 3,2011-06-21 12:24:39,49,0,0.0,2011-06-21 12:07:53
Case10,Create Purchase Requisition,res_7e730d18-3c8a-4688-a4f0-a7c766cb2d60,Role 1,2011-06-21 12:47:34,50,0,0.0,2011-06-21 12:38:39
Case1,Analyze Purchase Requisition,res_411bf95c-b291-4ad0-a54f-fcb5540a2cef,Role 3,2011-06-21 15:19:38,50,0,0.0,2011-06-21 15:14:51
Case1,Amend Purchase Requisition,res_7eb1c8c7-17f7-4ea6-91ca-c117bba13f4f,Role 1,2011-06-21 16:18:50,50,0,0.0,2011-06-21 16:00:40
Case11,Create Purchase Requisition,res_7eb1c8c7-17f7-4ea6-91ca-c117bba13f4f,Role 1,2011-06-21 16:31:28,51,0,0.0,2011-06-21 16:22:37
Case2,Analyze Purchase Requisition,res_411bf95c-b291-4ad0-a54f-fcb5540a2cef,Role 3,2011-06-21 17:26:30,51,0,0.0,2011-06-21 17:21:45
Case2,Create Request for Quotation,res_24d952ac-86dd-4dec-ba66-037fa4de7f15,Role 3,2011-06-21 17:56:40,51,0,0.0,2011-06-21 17:36:36
