caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,rp_start_oc,start_timestamp
Case1,Create Purchase Requisition,res_c7b1b40e-ef18-4c3d-be32-a17d4d24b998,Role 1,2011-06-20 21:06:24,41,0,0.0,2011-06-20 20:58:19
Case2,Create Purchase Requisition,res_34998063-e8f5-4b31-bf7d-d12e8fc0d9fb,Role 1,2011-06-20 22:51:20,42,0,0.0,2011-06-20 22:43:20
Case2,Create Request for Quotation,res_d26dc36c-1ddc-4b48-b716-3762774f86bf,Role 3,2011-06-21 00:19:07,42,0,0.0,2011-06-21 00:03:23
Case3,Create Purchase Requisition,res_84672574-5e19-48e7-bf41-1d35c51397fc,Role 1,2011-06-21 00:35:11,43,0,0.0,2011-06-21 00:25:56
Case4,Create Purchase Requisition,res_2073a583-f48f-4799-a840-e0c7c77739fe,Role 1,2011-06-21 01:44:53,44,0,0.0,2011-06-21 01:35:41
Case5,Create Purchase Requisition,res_2073a583-f48f-4799-a840-e0c7c77739fe,Role 1,2011-06-21 02:48:32,45,0,0.0,2011-06-21 02:39:22
Case6,Create Purchase Requisition,res_577e3f05-bca0-4798-8a33-16eb3a262c4e,Role 1,2011-06-21 03:05:38,46,0,0.0,2011-06-21 02:56:29
Case3,Create Request for Quotation,res_577e3f05-bca0-4798-8a33-16eb3a262c4e,Role 3,2011-06-21 03:18:34,46,0,0.0,2011-06-21 03:02:30
Case7,Create Purchase Requisition,res_d71dc372-20a7-44e6-aaf5-ce601145de0a,Role 1,2011-06-21 06:14:53,47,0,0.0,2011-06-21 06:05:50
Case7,Create Request for Quotation,res_93a6446e-0015-443a-8167-355bfa157cae,Role 3,2011-06-21 09:02:03,47,0,0.0,2011-06-21 08:45:29
Case8,Create Purchase Requisition,res_c7b1b40e-ef18-4c3d-be32-a17d4d24b998,Role 1,2011-06-21 15:21:44,48,0,0.0,2011-06-21 15:12:52
Case9,Create Purchase Requisition,res_125d5867-3778-4958-9e1c-0030ecedf199,Role 1,2011-06-21 15:54:25,49,0,0.0,2011-06-21 15:45:33
Case1,Analyze Purchase Requisition,res_d26dc36c-1ddc-4b48-b716-3762774f86bf,Role 3,2011-06-21 16:05:23,49,0,0.0,2011-06-21 16:00:35
Case1,Create Request for Quotation,res_93a6446e-0015-443a-8167-355bfa157cae,Role 3,2011-06-21 16:35:39,49,0,0.0,2011-06-21 16:15:40
Case10,Create Purchase Requisition,res_57718ace-30ce-4525-aeb1-062ef6159e98,Role 1,2011-06-21 17:20:33,50,0,0.0,2011-06-21 17:11:43
Case8,Create Request for Quotation,res_577e3f05-bca0-4798-8a33-16eb3a262c4e,Role 3,2011-06-21 18:10:20,50,0,0.0,2011-06-21 17:53:10
Case11,Create Purchase Requisition,res_82f1f729-4f14-4ff3-b060-547d92ffd632,Role 1,2011-06-21 18:48:52,51,0,0.0,2011-06-21 18:40:02
Case12,Create Purchase Requisition,res_4102a37c-87b9-4381-9f41-d50a65d8740f,Role 1,2011-06-21 19:28:09,52,0,0.0,2011-06-21 19:19:20
Case13,Create Purchase Requisition,res_134382b4-6b24-4561-bd4a-4863ab5f495f,Role 1,2011-06-21 19:58:06,53,0,0.0,2011-06-21 19:49:17
Case4,Analyze Purchase Requisition,res_93a6446e-0015-443a-8167-355bfa157cae,Role 3,2011-06-21 20:57:44,53,0,0.0,2011-06-21 20:53:41
Case4,Create Request for Quotation,res_577e3f05-bca0-4798-8a33-16eb3a262c4e,Role 3,2011-06-21 21:28:41,53,0,0.0,2011-06-21 21:07:18
Case11,Create Request for Quotation,res_577e3f05-bca0-4798-8a33-16eb3a262c4e,Role 3,2011-06-21 21:34:31,53,1,0.3333333333333333,2011-06-21 21:22:48
Case14,Create Purchase Requisition,res_65b48bfd-acd3-4dce-afcd-2f45d497dc05,Role 1,2011-06-21 21:48:42,54,0,0.0,2011-06-21 21:39:54
Case15,Create Purchase Requisition,res_65b48bfd-acd3-4dce-afcd-2f45d497dc05,Role 1,2011-06-21 21:53:51,55,1,0.07142857142857142,2011-06-21 21:45:10
Case5,Analyze Purchase Requisition,res_d26dc36c-1ddc-4b48-b716-3762774f86bf,Role 3,2011-06-21 22:01:38,55,0,0.0,2011-06-21 21:57:35
Case6,Analyze Purchase Requisition,res_d26dc36c-1ddc-4b48-b716-3762774f86bf,Role 3,2011-06-21 22:18:34,55,0,0.3333333333333333,2011-06-21 22:14:56
Case12,Create Request for Quotation,res_d26dc36c-1ddc-4b48-b716-3762774f86bf,Role 3,2011-06-21 22:20:17,55,0,0.0,2011-06-21 22:02:55
Case5,Amend Purchase Requisition,res_8c0d0710-f7bf-4ef7-b80f-99a434d52012,Role 1,2011-06-21 23:23:34,55,0,0.0,2011-06-21 23:04:35
Case16,Create Purchase Requisition,res_8c0d0710-f7bf-4ef7-b80f-99a434d52012,Role 1,2011-06-21 23:31:29,56,0,0.07142857142857142,2011-06-21 23:22:47
