caseid,task,start_timestamp,end_timestamp,resource
0,Start,2011-06-21 00:00:00.0,2011-06-21 00:00:00.0,SYSTEM
0,Analyze Purchase Requisition,2011-06-21 00:00:00.0,2011-06-21 09:18:14.355,Role 4
0,Create Request for Quotation,2011-06-21 09:18:14.355,2011-06-21 09:18:48.079,Role 4
0,Analyze Request for Quotation,2011-06-21 09:18:48.079,2011-06-21 09:43:30.002,Role 3
0,Send Request for Quotation to Supplier,2011-06-21 09:43:30.002,2011-06-21 09:50:03.976,Role 3
1,Create Purchase Requisition,2011-06-21 04:55:18.307,2011-06-21 09:50:40.711,Role 1
1,Start,2011-06-21 09:50:40.711,2011-06-21 10:00:00.0,SYSTEM
1,Create Purchase Requisition,2011-06-21 10:00:00.0,2011-06-21 11:19:51.004,Role 1
1,Start,2011-06-21 11:19:51.004,2011-06-21 12:00:00.0,SYSTEM
1,Create Purchase Requisition,2011-06-21 12:00:00.0,2011-06-21 12:05:29.186,Role 1
1,Start,2011-06-21 12:05:29.186,2011-06-21 12:05:29.186,SYSTEM
1,Create Purchase Requisition,2011-06-21 12:05:29.186,2011-06-21 12:58:58.581,Role 1
1,Start,2011-06-21 12:58:58.581,2011-06-21 12:58:58.581,SYSTEM
1,Analyze Purchase Requisition,2011-06-21 12:58:58.581,2011-06-21 13:00:48.647,Role 4
1,Amend Purchase Requisition,2011-06-21 13:00:48.647,2011-06-21 13:29:48.647,Role 1
1,Analyze Purchase Requisition,2011-06-21 13:29:48.647,2011-06-21 13:46:57.467,Role 4
1,Amend Purchase Requisition,2011-06-21 13:46:57.467,2011-06-21 14:15:57.467,Role 1
1,Analyze Purchase Requisition,2011-06-21 14:15:57.467,2011-06-21 14:21:48.821,Role 4
1,Create Request for Quotation,2011-06-21 14:21:48.821,2011-06-21 14:22:32.616,Role 4
1,Analyze Request for Quotation,2011-06-21 14:22:32.616,2011-06-21 14:44:40.941,Role 3
1,Amend Request for Quotation,2011-06-21 14:44:40.941,2011-06-21 15:11:37.07,Role 1
1,Analyze Request for Quotation,2011-06-21 15:11:37.07,2011-06-21 15:26:41.017,Role 3
1,Amend Request for Quotation,2011-06-21 15:26:41.017,2011-06-21 15:28:02.212,Role 1
1,Analyze Request for Quotation,2011-06-21 15:28:02.212,2011-06-21 16:25:31.426,Role 3
1,Amend Request for Quotation,2011-06-21 16:25:31.426,2011-06-21 16:39:58.305,Role 1
2,Start,2011-06-22 03:04:58.077,2011-06-22 03:04:58.077,SYSTEM
2,Create Purchase Requisition,2011-06-22 03:04:58.077,2011-06-22 09:06:46.269,Role 1
1,Analyze Request for Quotation,2011-06-21 16:39:58.305,2011-06-22 09:37:09.794,Role 3
1,Send Request for Quotation to Supplier,2011-06-22 09:37:09.794,2011-06-22 10:38:35.084,Role 3
