caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,rp_start_oc,start_timestamp
Case4,W_Afhandelen leads,res_37f77339-7542-4b5b-9f1d-39e82eaa04b6,Role 1,2012-02-13 20:47:09,290,1,0.0,2012-02-13 20:44:18
Case3,W_Beoordelen fraude,res_37f77339-7542-4b5b-9f1d-39e82eaa04b6,Role 6,2012-02-13 20:49:19,291,0,0.0,2012-02-13 20:46:27
Case1,W_Afhandelen leads,res_497b3af3-653c-4631-a124-ee129c8ec64f,Role 1,2012-02-13 21:14:13,291,1,0.0,2012-02-13 21:11:22
Case2,W_Afhandelen leads,res_88c99d45-5410-4879-84fc-0474061581c3,Role 1,2012-02-13 21:20:21,291,1,0.0,2012-02-13 21:17:30
Case6,W_Beoordelen fraude,res_e129950f-5659-4e18-8092-a74656276163,Role 6,2012-02-13 21:51:04,292,0,0.0,2012-02-13 21:48:12
Case3,W_Afhandelen leads,res_e129950f-5659-4e18-8092-a74656276163,Role 1,2012-02-13 21:52:36,292,1,0.0,2012-02-13 21:50:06
Case5,W_Afhandelen leads,res_88c99d45-5410-4879-84fc-0474061581c3,Role 1,2012-02-13 21:58:21,292,1,0.0,2012-02-13 21:55:30
Case7,W_Beoordelen fraude,res_cbb1e410-bded-40d1-aedb-763e1a140e8d,Role 6,2012-02-13 22:32:14,293,0,0.0,2012-02-13 22:29:22
Case2,W_Completeren aanvraag,res_cbb1e410-bded-40d1-aedb-763e1a140e8d,Role 1,2012-02-13 22:32:43,293,1,0.0,2012-02-13 22:30:08
Case6,W_Afhandelen leads,res_5b9a0e15-3f79-42c3-be26-9ba8cc5b977b,Role 1,2012-02-13 22:54:21,292,1,0.0,2012-02-13 22:51:52
Case5,W_Completeren aanvraag,res_3546d04f-3072-4187-8a5f-f546798680ad,Role 1,2012-02-13 23:10:46,291,1,0.0,2012-02-13 23:08:11
Case9,W_Completeren aanvraag,res_22926f38-ce60-40af-9c1a-13ea2e18832c,Role 1,2012-02-13 23:15:45,291,1,0.0,2012-02-13 23:12:57
Case10,W_Completeren aanvraag,res_37f77339-7542-4b5b-9f1d-39e82eaa04b6,Role 1,2012-02-13 23:22:11,292,1,0.0,2012-02-13 23:19:23
Case8,W_Beoordelen fraude,res_37f77339-7542-4b5b-9f1d-39e82eaa04b6,Role 6,2012-02-13 23:22:43,293,0,0.0,2012-02-13 23:19:51
Case11,W_Completeren aanvraag,res_0b143d46-2976-433d-8816-152fea85f361,Role 1,2012-02-13 23:33:18,294,1,0.0,2012-02-13 23:30:30
Case7,W_Afhandelen leads,res_0b143d46-2976-433d-8816-152fea85f361,Role 1,2012-02-13 23:35:32,294,1,0.030303030303030304,2012-02-13 23:33:03
Case8,W_Afhandelen leads,res_45048e07-5bb4-4915-932e-98e959dbe880,Role 1,2012-02-14 00:26:10,293,1,0.0,2012-02-14 00:23:32
Case15,W_Beoordelen fraude,res_b7a6bf3a-2380-43a1-8c49-bd0e559576dc,Role 6,2012-02-14 00:44:22,293,0,0.0,2012-02-14 00:41:32
Case13,W_Completeren aanvraag,res_b7a6bf3a-2380-43a1-8c49-bd0e559576dc,Role 1,2012-02-14 00:46:08,294,1,0.0,2012-02-14 00:43:17
Case12,W_Afhandelen leads,res_9c55fede-52ba-451d-a01e-937aca8dc88c,Role 1,2012-02-14 00:58:37,294,1,0.0,2012-02-14 00:55:45
Case7,W_Completeren aanvraag,res_eccdf28b-70b9-4658-8db3-e11b96585c44,Role 1,2012-02-14 01:07:00,294,1,0.0,2012-02-14 01:04:33
Case14,W_Completeren aanvraag,res_45048e07-5bb4-4915-932e-98e959dbe880,Role 1,2012-02-14 01:15:42,295,1,0.0,2012-02-14 01:12:52
Case15,W_Afhandelen leads,res_4b1ec33e-6d70-4db9-a82e-2171a997c48e,Role 1,2012-02-14 01:21:38,294,1,0.0,2012-02-14 01:18:59
Case12,W_Completeren aanvraag,res_e0d6c031-e960-483b-987b-313baf58bc5e,Role 1,2012-02-14 01:56:49,293,1,0.0,2012-02-14 01:54:10
Case9,W_Nabellen offertes,res_e0d6c031-e960-483b-987b-313baf58bc5e,Role 1,2012-02-14 01:57:26,293,0,0.030303030303030304,2012-02-14 01:54:56
