caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,rp_start_oc,start_timestamp
Case3,W_Completeren aanvraag,res_9eecee60-be58-488a-a4e8-4e3c82b8dc90,Role 1,2012-02-13 21:07:21,290,1,0.0,2012-02-13 21:04:32
Case1,W_Afhandelen leads,res_5d892d3d-45aa-406f-8cea-014c71f1f911,Role 1,2012-02-13 21:15:48,290,1,0.0,2012-02-13 21:12:57
Case2,W_Completeren aanvraag,res_53c8efa0-d998-4724-86a4-cd9ada8a958e,Role 1,2012-02-13 21:24:07,291,1,0.0,2012-02-13 21:21:18
Case4,W_Beoordelen fraude,res_19f98e3f-c643-4daf-b5c7-6bd41ffbfb9e,Role 6,2012-02-13 22:16:13,291,0,0.0,2012-02-13 22:13:21
Case5,W_Afhandelen leads,res_19f98e3f-c643-4daf-b5c7-6bd41ffbfb9e,Role 1,2012-02-13 22:17:45,292,1,0.0,2012-02-13 22:14:54
Case1,W_Completeren aanvraag,res_e13a5efd-4515-483c-acac-ed3de22f1df1,Role 1,2012-02-13 22:28:08,291,1,0.0,2012-02-13 22:25:33
Case6,W_Completeren aanvraag,res_52109ad6-fe8e-4bdb-9579-26b5c2f62dc4,Role 1,2012-02-13 22:48:56,291,1,0.0,2012-02-13 22:46:07
Case8,W_Afhandelen leads,res_52109ad6-fe8e-4bdb-9579-26b5c2f62dc4,Role 1,2012-02-13 23:02:17,291,1,0.0,2012-02-13 22:59:26
Case9,W_Afhandelen leads,res_3161b064-2081-4326-b2e1-dc83e3525037,Role 1,2012-02-13 23:15:24,292,1,0.0,2012-02-13 23:12:34
Case4,W_Afhandelen leads,res_93fc39e2-cb8b-443f-9d3a-9c3de9ea6f8a,Role 1,2012-02-13 23:19:30,292,1,0.0,2012-02-13 23:17:01
Case7,W_Beoordelen fraude,res_93fc39e2-cb8b-443f-9d3a-9c3de9ea6f8a,Role 6,2012-02-13 23:21:24,293,0,0.0,2012-02-13 23:18:32
Case8,W_Completeren aanvraag,res_626eb78f-6bd2-4be0-be9e-dba918b965d3,Role 1,2012-02-14 00:14:40,292,1,0.0,2012-02-14 00:12:04
Case7,W_Afhandelen leads,res_03a05a8d-e0ff-4595-86ad-9bfa483694cb,Role 1,2012-02-14 00:24:50,291,1,0.0,2012-02-14 00:22:12
Case9,W_Completeren aanvraag,res_53c8efa0-d998-4724-86a4-cd9ada8a958e,Role 1,2012-02-14 00:27:50,291,1,0.0,2012-02-14 00:25:14
Case10,W_Completeren aanvraag,res_354cee5e-e658-46a4-8449-be35fd6559d5,Role 1,2012-02-14 00:41:16,292,1,0.0,2012-02-14 00:38:25
Case7,W_Completeren aanvraag,res_e13a5efd-4515-483c-acac-ed3de22f1df1,Role 1,2012-02-14 01:42:33,292,1,0.0,2012-02-14 01:40:04
Case11,W_Completeren aanvraag,res_52109ad6-fe8e-4bdb-9579-26b5c2f62dc4,Role 1,2012-02-14 02:52:13,293,1,0.0,2012-02-14 02:49:23
Case14,W_Completeren aanvraag,res_b2fcae4b-16ee-424f-b8ad-670de3d321a5,Role 1,2012-02-14 03:01:33,293,1,0.0,2012-02-14 02:58:43
Case12,W_Beoordelen fraude,res_93fc39e2-cb8b-443f-9d3a-9c3de9ea6f8a,Role 6,2012-02-14 03:10:56,293,0,0.0,2012-02-14 03:08:06
Case13,W_Beoordelen fraude,res_93fc39e2-cb8b-443f-9d3a-9c3de9ea6f8a,Role 6,2012-02-14 03:35:03,294,0,0.0,2012-02-14 03:32:13
Case16,W_Completeren aanvraag,res_93fc39e2-cb8b-443f-9d3a-9c3de9ea6f8a,Role 1,2012-02-14 03:40:24,295,1,0.0,2012-02-14 03:37:34
Case17,W_Beoordelen fraude,res_93fc39e2-cb8b-443f-9d3a-9c3de9ea6f8a,Role 6,2012-02-14 03:42:30,296,0,0.0,2012-02-14 03:39:40
Case12,W_Afhandelen leads,res_93fc39e2-cb8b-443f-9d3a-9c3de9ea6f8a,Role 1,2012-02-14 03:48:10,296,1,0.0,2012-02-14 03:45:32
Case15,W_Beoordelen fraude,res_93fc39e2-cb8b-443f-9d3a-9c3de9ea6f8a,Role 6,2012-02-14 03:50:45,297,0,0.0,2012-02-14 03:47:55
Case13,W_Afhandelen leads,res_bec22305-778a-48e1-86d7-d0c7091368e7,Role 1,2012-02-14 04:12:17,297,1,0.0,2012-02-14 04:09:40
Case17,W_Afhandelen leads,res_80a872d6-ec2e-41b3-9963-6c4f6726df24,Role 1,2012-02-14 04:19:45,297,1,0.0,2012-02-14 04:17:08
Case15,W_Afhandelen leads,res_bdc05766-962a-4037-943e-822146ddc908,Role 1,2012-02-14 04:28:01,296,1,0.0,2012-02-14 04:25:24
