caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Traer informacion estudiante - banner,res_4eeae7a4-2223-4316-b4d0-b44b092c40b5,Role 1,2016-05-18 22:06:58,43,0,2016-05-18 22:06:41
Case2,Traer informacion estudiante - banner,res_4eeae7a4-2223-4316-b4d0-b44b092c40b5,Role 1,2016-05-18 23:51:10,44,0,2016-05-18 23:50:51
Case1,Radicar Solicitud Homologacion,res_cf46fb63-9420-42cc-b387-87ee15167359,Role 1,2016-05-19 00:26:34,44,0,2016-05-19 00:21:46
Case3,Traer informacion estudiante - banner,res_b4a15053-8351-4f89-a0cb-7b4c283c5410,Role 1,2016-05-19 01:37:11,45,0,2016-05-19 01:36:43
Case2,Radicar Solicitud Homologacion,res_92f69cdc-4ea1-4116-8756-abb7d24a555a,Role 1,2016-05-19 02:09:02,45,0,2016-05-19 02:04:18
Case4,Traer informacion estudiante - banner,res_4eeae7a4-2223-4316-b4d0-b44b092c40b5,Role 1,2016-05-19 02:24:47,46,0,2016-05-19 02:24:20
Case5,Traer informacion estudiante - banner,res_725e89a1-384e-4a7b-a727-d2c5c8dc84b4,Role 1,2016-05-19 03:12:12,47,0,2016-05-19 03:11:45
Case1,Validar solicitud,res_4a16cae6-ef74-48b6-9ddb-cabb662fd854,Role 2,2016-05-19 05:43:56,47,0,2016-05-19 04:57:13
Case6,Traer informacion estudiante - banner,res_eed39074-0aed-4da3-9fed-2b1c42f8260e,Role 1,2016-05-19 06:39:17,48,0,2016-05-19 06:38:52
Case7,Traer informacion estudiante - banner,res_9787bc33-0fdb-490d-8d80-4878cf798d7e,Role 1,2016-05-19 06:59:42,49,0,2016-05-19 06:59:16
Case2,Validar solicitud,res_9787bc33-0fdb-490d-8d80-4878cf798d7e,Role 2,2016-05-19 07:18:56,47,0,2016-05-19 06:32:44
Case3,Radicar Solicitud Homologacion,res_53c24aad-6858-4d78-be4b-6dc0d1a76068,Role 1,2016-05-19 09:15:59,49,0,2016-05-19 09:07:13
Case4,Radicar Solicitud Homologacion,res_b89b0ae0-f581-469e-ba8b-44298d0d5c87,Role 1,2016-05-19 09:58:19,49,0,2016-05-19 09:49:40
Case5,Radicar Solicitud Homologacion,res_dae28510-2057-4ee6-af9a-faf1ab6552ac,Role 1,2016-05-19 10:40:30,49,0,2016-05-19 10:31:58
Case8,Traer informacion estudiante - banner,res_0376c12d-c1a0-440d-84a0-1aafaf2bf581,Role 1,2016-05-19 10:56:16,50,0,2016-05-19 10:55:54
Case9,Traer informacion estudiante - banner,res_2c92d78f-5037-4ce1-9a61-8b5b8134a804,Role 1,2016-05-19 11:19:31,51,0,2016-05-19 11:19:09
Case10,Traer informacion estudiante - banner,res_ccc226f9-e6f8-4f61-8c39-775f797e74b5,Role 1,2016-05-19 12:53:24,52,0,2016-05-19 12:53:02
Case11,Traer informacion estudiante - banner,res_38d5253f-b24a-44bd-9425-55a85fa05a77,Role 1,2016-05-19 13:34:20,53,0,2016-05-19 13:33:56
Case1,Recepcion de documentos,res_38d5253f-b24a-44bd-9425-55a85fa05a77,Role 2,2016-05-19 13:37:40,52,0,2016-05-19 13:32:29
Case6,Radicar Solicitud Homologacion,res_dae28510-2057-4ee6-af9a-faf1ab6552ac,Role 1,2016-05-19 13:53:16,53,0,2016-05-19 13:45:34
Case7,Radicar Solicitud Homologacion,res_8271dc23-d2c4-4426-8063-04d2c3603e89,Role 1,2016-05-19 14:08:43,53,0,2016-05-19 14:01:01
Case2,Homologacion por grupo de cursos,res_569029ba-c609-499f-84d0-f19b00a545bd,Role 3,2016-05-19 15:24:53,53,1,2016-05-19 15:22:53
Case12,Traer informacion estudiante - banner,res_1ad85136-71ca-48ed-9fd5-8b0c20075e59,Role 1,2016-05-19 16:01:06,53,0,2016-05-19 16:00:44
Case13,Traer informacion estudiante - banner,res_93834749-58c0-44ab-8216-b7f68e157da5,Role 1,2016-05-19 17:13:10,54,0,2016-05-19 17:12:48
Case8,Radicar Solicitud Homologacion,res_69e26952-fe7e-4811-a95d-ffc18f2327a7,Role 1,2016-05-19 18:08:17,54,0,2016-05-19 18:00:58
Case9,Radicar Solicitud Homologacion,res_1e983969-2801-417c-92f6-aabef88bd778,Role 1,2016-05-19 18:26:36,54,0,2016-05-19 18:19:17
Case14,Traer informacion estudiante - banner,res_08abc0a9-8137-4c20-89e2-a8838a12b906,Role 1,2016-05-19 18:33:56,55,0,2016-05-19 18:33:33
Case15,Traer informacion estudiante - banner,res_723c5237-6100-4504-9850-a0b559971081,Role 1,2016-05-19 18:58:34,56,0,2016-05-19 18:58:11
Case10,Radicar Solicitud Homologacion,res_03f09dde-b2f8-40fd-8749-1d6d5f69955d,Role 1,2016-05-19 19:55:27,56,0,2016-05-19 19:48:17
Case11,Radicar Solicitud Homologacion,res_b4ddb3c8-aec7-4a59-9ef4-b0bdd9e175b8,Role 1,2016-05-19 20:23:13,56,0,2016-05-19 20:16:17
Case12,Radicar Solicitud Homologacion,res_22b105d9-3261-4c25-8449-3de809127a79,Role 1,2016-05-19 22:58:03,56,0,2016-05-19 22:51:08
Case1,Homologacion por grupo de cursos,res_fd8ed5ec-848d-4b54-a118-3aa411ffc2b3,Role 3,2016-05-19 23:42:14,56,1,2016-05-19 23:35:48
Case13,Radicar Solicitud Homologacion,res_8cd964e7-d4d7-4823-b626-814c40264080,Role 1,2016-05-20 00:05:32,55,0,2016-05-19 23:58:23
Case3,Validar solicitud,res_8cd964e7-d4d7-4823-b626-814c40264080,Role 2,2016-05-20 00:15:02,56,0,2016-05-19 23:23:25
Case5,Validar solicitud,res_8813b11d-2cbc-4fc6-9f50-4cd43b511028,Role 2,2016-05-20 00:55:02,55,0,2016-05-20 00:26:55
Case14,Radicar Solicitud Homologacion,res_b1d28fb9-ce54-46c3-a277-5fad3582f793,Role 1,2016-05-20 01:22:52,55,0,2016-05-20 01:14:24
Case16,Traer informacion estudiante - banner,res_4afe1bbd-ad34-45f2-896d-767934bd7aa8,Role 1,2016-05-20 01:36:31,56,0,2016-05-20 01:35:32
Case15,Radicar Solicitud Homologacion,res_4afe1bbd-ad34-45f2-896d-767934bd7aa8,Role 1,2016-05-20 01:42:45,55,0,2016-05-20 01:34:19
