caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Traer informacion estudiante - banner,res_15ac9a53-c76c-4ad3-ba8f-793886cc70c2,Role 1,2016-05-18 22:28:41,43,0,2016-05-18 22:28:23
Case2,Traer informacion estudiante - banner,res_16610f9d-c641-4f6f-a76e-b7a13d624db4,Role 1,2016-05-18 23:52:27,44,0,2016-05-18 23:52:08
Case3,Traer informacion estudiante - banner,res_4cd11903-5a4f-42b4-9d59-43bbdf08369d,Role 1,2016-05-19 00:30:55,45,0,2016-05-19 00:30:26
Case1,Radicar Solicitud Homologacion,res_4e00b2b2-11a7-47ec-aa7c-bd157ae930c4,Role 1,2016-05-19 00:48:16,45,0,2016-05-19 00:43:29
Case4,Traer informacion estudiante - banner,res_f77a0405-942c-41f6-afbb-5d1ab6652f7b,Role 1,2016-05-19 01:21:16,46,0,2016-05-19 01:20:48
Case2,Radicar Solicitud Homologacion,res_9dca1439-58b3-47ec-be4d-985990a440ce,Role 1,2016-05-19 02:10:19,46,0,2016-05-19 02:05:35
Case5,Traer informacion estudiante - banner,res_5e04c1b0-3d81-4b41-9927-edccc5157f53,Role 1,2016-05-19 02:15:52,47,0,2016-05-19 02:15:24
Case6,Traer informacion estudiante - banner,res_b6458d5a-ce23-40a5-af46-752a0135798c,Role 1,2016-05-19 04:30:28,48,0,2016-05-19 04:30:02
Case1,Validar solicitud,res_e7500d8b-8f8e-435a-8ff4-938eec035342,Role 2,2016-05-19 06:01:58,48,0,2016-05-19 05:15:38
Case7,Traer informacion estudiante - banner,res_c43c0a2a-0ad3-46d3-8678-f14315bfd4ab,Role 1,2016-05-19 06:29:15,49,0,2016-05-19 06:28:51
Case2,Validar solicitud,res_3564ab4d-196d-43be-ba32-acbcccea2393,Role 2,2016-05-19 07:16:22,49,0,2016-05-19 06:30:48
Case3,Radicar Solicitud Homologacion,res_e4c0cb59-648a-4588-b0ce-d8dbd03237d3,Role 1,2016-05-19 08:10:01,49,0,2016-05-19 08:00:57
Case8,Traer informacion estudiante - banner,res_cc799a7b-9446-45b8-840b-322ae97d1330,Role 1,2016-05-19 08:22:04,50,0,2016-05-19 08:21:40
Case4,Radicar Solicitud Homologacion,res_f0122c80-4822-4d7a-b6b2-6608ffc19699,Role 1,2016-05-19 08:55:05,50,0,2016-05-19 08:46:09
Case5,Radicar Solicitud Homologacion,res_5ce689f2-e84c-452f-aa58-3b3934b5ea6e,Role 1,2016-05-19 09:44:24,50,0,2016-05-19 09:35:38
Case6,Radicar Solicitud Homologacion,res_dd26bfa6-8237-44ae-a2b1-a4b8fef89d46,Role 1,2016-05-19 11:53:29,50,0,2016-05-19 11:45:10
Case9,Traer informacion estudiante - banner,res_acc60382-5114-489d-8bf3-a24b6ad66d54,Role 1,2016-05-19 12:16:14,51,0,2016-05-19 12:15:52
Case7,Radicar Solicitud Homologacion,res_abb64e47-d3dd-4930-935c-b055d2ff279f,Role 1,2016-05-19 13:46:55,51,0,2016-05-19 13:38:56
Case1,Homologacion por grupo de cursos,res_578818ad-8e8c-40fa-8087-99a8516c815a,Role 3,2016-05-19 14:18:44,51,1,2016-05-19 14:16:33
Case2,Recepcion de documentos,res_0eace775-cc81-46ee-9680-e9437ae89d3f,Role 2,2016-05-19 14:43:41,51,0,2016-05-19 14:38:44
Case10,Traer informacion estudiante - banner,res_f05e5ff7-220e-4b14-95a7-b5df44537971,Role 1,2016-05-19 15:10:23,52,0,2016-05-19 15:10:01
Case8,Radicar Solicitud Homologacion,res_7e568859-1286-4054-bfcd-6ee88b2b6bbd,Role 1,2016-05-19 15:34:29,52,0,2016-05-19 15:26:46
Case11,Traer informacion estudiante - banner,res_1a1f4c50-4fcc-46c7-bfec-818c7e40d145,Role 1,2016-05-19 17:30:38,53,0,2016-05-19 17:30:16
Case12,Traer informacion estudiante - banner,res_69dd45c4-1b23-435d-8c1c-10827b337962,Role 1,2016-05-19 18:39:33,54,0,2016-05-19 18:39:11
Case13,Traer informacion estudiante - banner,res_ae8249c0-922c-48ee-b858-c53b4c653885,Role 1,2016-05-19 19:20:09,55,0,2016-05-19 19:19:46
Case9,Radicar Solicitud Homologacion,res_ae8249c0-922c-48ee-b858-c53b4c653885,Role 1,2016-05-19 19:23:12,54,0,2016-05-19 19:16:00
Case14,Traer informacion estudiante - banner,res_57572fcb-d90b-4046-9150-5be81ef61d69,Role 1,2016-05-19 19:56:39,56,0,2016-05-19 19:56:16
Case15,Traer informacion estudiante - banner,res_50d1a50f-b778-467f-bc1b-de7740b5656f,Role 1,2016-05-19 21:04:58,57,0,2016-05-19 21:04:35
Case10,Radicar Solicitud Homologacion,res_ec809e5a-6635-4762-bf8d-14082b355ffb,Role 1,2016-05-19 22:12:11,57,0,2016-05-19 22:05:16
Case4,Validar solicitud,res_f5e8a836-ff7b-4db9-a745-0cbf9ca3bf9e,Role 2,2016-05-19 23:34:32,57,0,2016-05-19 22:43:16
Case16,Traer informacion estudiante - banner,res_8a3e5f00-e874-4337-aaae-5779edffc283,Role 1,2016-05-19 23:54:12,58,0,2016-05-19 23:53:48
Case2,Homologacion por grupo de cursos,res_1d2c458a-ed68-4d4b-a6cb-d0b358275367,Role 3,2016-05-20 00:26:17,58,1,2016-05-20 00:24:13
Case11,Radicar Solicitud Homologacion,res_1d2c458a-ed68-4d4b-a6cb-d0b358275367,Role 1,2016-05-20 00:29:22,58,0,2016-05-20 00:20:40
Case3,Cancelar Solicitud,res_a4721391-7691-4703-a478-5e03ec9ade76,Role 2,2016-05-20 00:32:45,58,0,2016-05-20 00:29:30
Case17,Traer informacion estudiante - banner,res_ec755ce1-5341-40ed-b828-c553dbf400bd,Role 1,2016-05-20 00:47:00,59,0,2016-05-20 00:45:58
Case1,Revisar curso,res_ec755ce1-5341-40ed-b828-c553dbf400bd,Role 2,2016-05-20 00:49:03,59,0,2016-05-20 00:46:03
Case18,Traer informacion estudiante - banner,res_15ac9a53-c76c-4ad3-ba8f-793886cc70c2,Role 1,2016-05-20 01:03:34,60,0,2016-05-20 01:02:32
Case5,Cancelar Solicitud,res_ec755ce1-5341-40ed-b828-c553dbf400bd,Role 2,2016-05-20 01:32:32,60,0,2016-05-20 01:29:37
Case12,Radicar Solicitud Homologacion,res_ec755ce1-5341-40ed-b828-c553dbf400bd,Role 1,2016-05-20 01:33:19,60,0,2016-05-20 01:24:46
Case13,Radicar Solicitud Homologacion,res_2ce30b2e-c80e-4666-9c37-c12f90052ae0,Role 1,2016-05-20 02:09:57,60,0,2016-05-20 02:01:30
Case14,Radicar Solicitud Homologacion,res_29753165-df0a-4982-bfca-830648ee1223,Role 1,2016-05-20 02:40:47,60,0,2016-05-20 02:32:24
Case7,Validar solicitud,res_06c04ad2-0568-4ff0-8b15-d7610539f8f6,Role 2,2016-05-20 03:21:34,60,0,2016-05-20 02:55:48
Case17,Radicar Solicitud Homologacion,res_06c04ad2-0568-4ff0-8b15-d7610539f8f6,Role 1,2016-05-20 03:25:33,60,0,2016-05-20 03:13:32
Case6,Cancelar Solicitud,res_499e2010-0b15-4868-a085-fd4875065620,Role 2,2016-05-20 03:29:10,60,0,2016-05-20 03:26:47
Case15,Radicar Solicitud Homologacion,res_2d598929-f843-445c-bbc5-776aadae5b0b,Role 1,2016-05-20 03:43:15,60,1,2016-05-20 03:36:02
Case18,Radicar Solicitud Homologacion,res_2d598929-f843-445c-bbc5-776aadae5b0b,Role 1,2016-05-20 03:44:24,60,0,2016-05-20 03:32:47
