caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,rp_start_oc,start_timestamp
Case1,Turning & Milling,res_a289504e-3293-414c-9e33-9da011e8dbcc,Role 1,2012-03-13 06:19:41,12,1,0.0,2012-03-13 01:50:21
Case2,Turning & Milling Q.C.,res_a289504e-3293-414c-9e33-9da011e8dbcc,Role 3,2012-03-13 07:10:55,13,0,0.0,2012-03-13 02:54:43
Case3,Turning & Milling,res_a289504e-3293-414c-9e33-9da011e8dbcc,Role 1,2012-03-13 07:45:59,14,2,0.09090909090909091,2012-03-13 03:39:41
Case4,Rework Milling,res_a289504e-3293-414c-9e33-9da011e8dbcc,Role 1,2012-03-13 08:07:42,15,0,0.18181818181818182,2012-03-13 04:09:09
Case5,Turning & Milling,res_6b61c9ab-fad0-4172-838a-56300c5d61c0,Role 1,2012-03-13 08:53:21,16,3,0.2727272727272727,2012-03-13 05:17:42
Case6,Turning & Milling,res_a289504e-3293-414c-9e33-9da011e8dbcc,Role 1,2012-03-13 09:36:20,17,4,0.36363636363636365,2012-03-13 06:15:36
Case7,Rework Milling,res_b809cac1-a8f8-4b04-8670-077d16c99fd1,Role 1,2012-03-13 12:04:31,18,0,0.18181818181818182,2012-03-13 08:20:08
Case8,Turning & Milling,res_6b61c9ab-fad0-4172-838a-56300c5d61c0,Role 1,2012-03-13 12:43:49,19,2,0.18181818181818182,2012-03-13 09:07:17
Case1,Turning & Milling Q.C.,res_6f64de87-93b0-4cb4-b458-1be7c6cf14db,Role 3,2012-03-13 13:07:15,19,0,0.0,2012-03-13 09:39:52
Case2,Turning & Milling,res_6f64de87-93b0-4cb4-b458-1be7c6cf14db,Role 1,2012-03-13 13:38:54,19,2,0.18181818181818182,2012-03-13 10:41:21
Case4,Change Version,res_6f64de87-93b0-4cb4-b458-1be7c6cf14db,Role 1,2012-03-13 14:24:30,19,0,0.2727272727272727,2012-03-13 11:39:24
Case5,Turning & Milling Q.C.,res_ec07296d-66bc-4bd9-9f69-dafba98b4300,Role 3,2012-03-13 14:29:22,19,1,0.3333333333333333,2012-03-13 12:15:23
Case3,Laser Marking,res_ec07296d-66bc-4bd9-9f69-dafba98b4300,Role 4,2012-03-13 14:33:05,19,0,0.0,2012-03-13 11:10:24
