caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,rp_start_oc,start_timestamp
Case1,Turning & Milling,res_708d2fec-f502-497b-8f79-16ed76c45908,Role 1,2012-03-13 05:09:16,12,1,0.0,2012-03-13 00:35:52
Case2,Rework Milling,res_fbfacad7-7beb-4322-908b-0da53fa8a475,Role 1,2012-03-13 07:05:08,13,0,0.09090909090909091,2012-03-13 02:49:30
Case3,Turning & Milling,res_c151b9db-1bd1-4514-89fe-562553dcd611,Role 1,2012-03-13 07:42:57,14,2,0.18181818181818182,2012-03-13 03:48:14
Case4,Turning & Milling,res_c151b9db-1bd1-4514-89fe-562553dcd611,Role 1,2012-03-13 08:19:07,15,3,0.2727272727272727,2012-03-13 04:41:04
Case5,Rework Milling,res_be8b1186-8ebe-4e91-9383-535d6771fb75,Role 1,2012-03-13 10:22:55,16,1,0.2727272727272727,2012-03-13 06:48:48
Case6,Rework Milling,res_fbfacad7-7beb-4322-908b-0da53fa8a475,Role 1,2012-03-13 10:55:50,17,1,0.2727272727272727,2012-03-13 07:23:43
Case1,Laser Marking,res_882de341-bc26-4bdc-9d42-185976aee5e7,Role 4,2012-03-13 12:28:16,17,0,0.0,2012-03-13 08:37:07
Case4,Laser Marking,res_882de341-bc26-4bdc-9d42-185976aee5e7,Role 4,2012-03-13 13:27:00,18,2,1.0,2012-03-13 11:45:05
Case3,Laser Marking,res_882de341-bc26-4bdc-9d42-185976aee5e7,Role 4,2012-03-13 13:35:06,18,1,0.5,2012-03-13 11:07:22
Case2,Turning,res_882de341-bc26-4bdc-9d42-185976aee5e7,Role 1,2012-03-13 13:44:13,18,0,0.18181818181818182,2012-03-13 10:37:43
Case7,Milling Q.C.,res_f4be3e96-c8ce-46ff-89a3-6045e5d414f2,Role 1,2012-03-13 13:55:40,18,0,0.18181818181818182,2012-03-13 10:19:08
Case8,Change Version,res_731c3513-ccdf-4b61-81c0-80cd146261ed,Role 1,2012-03-13 15:53:33,19,0,0.18181818181818182,2012-03-13 12:21:20
Case5,Turning,res_09963530-f2b8-4c25-b29d-e8594942cece,Role 1,2012-03-13 16:18:47,20,0,0.2727272727272727,2012-03-13 13:53:55
Case6,Turning,res_09963530-f2b8-4c25-b29d-e8594942cece,Role 1,2012-03-13 16:39:42,21,1,0.36363636363636365,2012-03-13 14:26:50
Case9,Turning & Milling,res_1ade1410-6bfc-4020-84d7-863b8b624338,Role 1,2012-03-13 17:13:03,20,1,0.18181818181818182,2012-03-13 13:46:30
Case10,Milling Q.C.,res_de56c939-1f6a-46a5-b9db-5de33a28c3ec,Role 1,2012-03-13 17:23:49,21,0,0.2727272727272727,2012-03-13 14:08:54
Case4,Lapping,res_1984ab00-792c-4022-bef6-2ced7d7145fa,Role 4,2012-03-13 18:33:17,23,0,0.5,2012-03-13 17:13:28
Case11,Turning & Milling,res_1984ab00-792c-4022-bef6-2ced7d7145fa,Role 1,2012-03-13 18:36:47,22,2,0.45454545454545453,2012-03-13 15:47:23
