caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,W_Complete application,res_ea5cafe5-3949-430a-b520-10e413fbeb37,Role 1,2016-10-24 09:22:24,1030,1,2016-10-24 09:20:12
Case4,W_Complete application,res_ea5cafe5-3949-430a-b520-10e413fbeb37,Role 1,2016-10-24 09:22:26,1031,2,2016-10-24 09:20:14
Case4,W_Handle leads,res_a5db7edb-264f-4e25-b1b6-99b716659761,Role 1,2016-10-24 09:22:47,1033,0,2016-10-24 09:22:31
Case2,W_Complete application,res_9d863f08-2a8d-4a8f-acf8-828fff66d7d2,Role 1,2016-10-24 09:23:32,1032,3,2016-10-24 09:21:20
Case7,W_Complete application,res_9d863f08-2a8d-4a8f-acf8-828fff66d7d2,Role 1,2016-10-24 09:24:26,1033,4,2016-10-24 09:22:14
Case7,W_Handle leads,res_38a27f97-2cd5-494d-9147-19da838fcd79,Role 1,2016-10-24 09:24:47,1033,0,2016-10-24 09:24:31
Case4,W_Complete application,res_d6dc53f7-f2e8-4c26-b7a0-16f8ecaff009,Role 1,2016-10-24 09:25:42,1033,3,2016-10-24 09:22:52
Case7,W_Complete application,res_d6dc53f7-f2e8-4c26-b7a0-16f8ecaff009,Role 1,2016-10-24 09:27:41,1033,2,2016-10-24 09:24:52
Case6,W_Call after offers,res_a5db7edb-264f-4e25-b1b6-99b716659761,Role 1,2016-10-24 09:33:15,1034,1,2016-10-24 09:31:04
Case1,W_Complete application,res_64abe17c-eb8d-4f15-90e9-340141a50448,Role 1,2016-10-24 09:40:43,1034,1,2016-10-24 09:39:59
Case7,W_Handle leads,res_d94a82d4-3ba7-4cb0-b96a-699596bc7cdc,Role 1,2016-10-24 09:41:49,1035,0,2016-10-24 09:41:28
Case3,W_Complete application,res_78024d8f-434e-42f2-875d-22b23822746b,Role 1,2016-10-24 09:42:46,1035,2,2016-10-24 09:40:34
Case2,W_Complete application,res_78024d8f-434e-42f2-875d-22b23822746b,Role 1,2016-10-24 09:43:02,1035,2,2016-10-24 09:42:18
Case5,W_Call after offers,res_3559612f-9cf0-4582-92fc-ded422e76b76,Role 1,2016-10-24 10:04:59,1036,1,2016-10-24 10:02:49
Case13,W_Complete application,res_38a27f97-2cd5-494d-9147-19da838fcd79,Role 1,2016-10-24 10:13:05,1037,1,2016-10-24 10:10:53
Case10,W_Handle leads,res_37e8b262-2125-486b-bb8e-070b4e03637b,Role 1,2016-10-24 10:14:18,1038,0,2016-10-24 10:14:09
Case7,W_Complete application,res_37e8b262-2125-486b-bb8e-070b4e03637b,Role 1,2016-10-24 10:16:10,1037,1,2016-10-24 10:13:55
Case19,W_Handle leads,res_5cb0a855-d8e1-4ac0-9828-bf90f5f68221,Role 1,2016-10-24 10:23:18,1039,0,2016-10-24 10:23:09
Case3,W_Call after offers,res_a73e09df-9df3-4fb5-8dac-f580970df141,Role 1,2016-10-24 10:24:19,1039,1,2016-10-24 10:23:38
Case15,W_Complete application,res_79b64031-7fca-4993-954d-51f6e924e8b3,Role 1,2016-10-24 10:31:10,1039,1,2016-10-24 10:28:58
Case9,W_Complete application,res_79b64031-7fca-4993-954d-51f6e924e8b3,Role 1,2016-10-24 10:32:03,1040,2,2016-10-24 10:29:51
Case13,W_Complete application,res_3ad269ec-da4f-4ee9-98fe-ab3b32bb7379,Role 1,2016-10-24 10:35:04,1040,2,2016-10-24 10:34:17
Case10,W_Complete application,res_49ea9f1f-c95e-4fbe-9955-c76fee8a8754,Role 1,2016-10-24 10:36:38,1040,1,2016-10-24 10:34:13
Case11,W_Complete application,res_49ea9f1f-c95e-4fbe-9955-c76fee8a8754,Role 1,2016-10-24 10:36:38,1041,3,2016-10-24 10:34:26
Case16,W_Complete application,res_49ea9f1f-c95e-4fbe-9955-c76fee8a8754,Role 1,2016-10-24 10:38:41,1042,3,2016-10-24 10:36:29
Case16,W_Handle leads,res_286ad14a-24cd-40f6-817e-4040cf1f179a,Role 1,2016-10-24 10:39:01,1042,0,2016-10-24 10:38:46
