caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case4,W_Complete application,res_ed5bbb26-b76e-476d-9e40-3f5fbd53bc30,Role 1,2016-10-24 09:22:16,1030,1,2016-10-24 09:20:04
Case1,W_Handle leads,res_99b44fbf-b9f9-4582-9394-ccd1f4f3757d,Role 1,2016-10-24 09:24:09,1031,0,2016-10-24 09:24:00
Case3,W_Complete application,res_e6949901-ebb6-4f1b-b20c-a784ba523f3b,Role 1,2016-10-24 09:36:46,1032,1,2016-10-24 09:34:34
Case1,W_Complete application,res_21cd8878-9e1a-424c-ba28-68bc8e60cb94,Role 1,2016-10-24 09:47:52,1032,1,2016-10-24 09:45:26
Case7,W_Complete application,res_b4aa9bcf-9eef-4382-8eed-497d3e9f5ff0,Role 1,2016-10-24 09:53:20,1033,1,2016-10-24 09:51:08
Case7,W_Handle leads,res_1f859df6-9d76-49b9-92dd-1755d2094d99,Role 1,2016-10-24 09:53:40,1033,0,2016-10-24 09:53:25
Case7,W_Complete application,res_68a45af9-b459-4e97-a196-4f52c82bed40,Role 1,2016-10-24 09:56:32,1033,1,2016-10-24 09:53:45
Case5,W_Complete application,res_7b772b48-e3e5-41c5-8d05-29a6b6e3814b,Role 1,2016-10-24 09:59:25,1034,1,2016-10-24 09:57:13
Case4,W_Call after offers,res_525f42cf-80bc-436d-8602-76d9d1def341,Role 1,2016-10-24 10:06:22,1034,1,2016-10-24 10:05:39
Case2,W_Call after offers,res_aca46721-dd5c-431b-928b-1c9baaa7b683,Role 1,2016-10-24 10:10:05,1035,1,2016-10-24 10:07:55
Case6,W_Call after offers,res_aca46721-dd5c-431b-928b-1c9baaa7b683,Role 1,2016-10-24 10:10:11,1036,2,2016-10-24 10:08:00
Case7,W_Handle leads,res_aca46721-dd5c-431b-928b-1c9baaa7b683,Role 1,2016-10-24 10:10:24,1036,0,2016-10-24 10:10:02
Case3,W_Call after offers,res_86681777-c04c-4357-abea-9dda7dedfc8d,Role 1,2016-10-24 10:20:49,1036,1,2016-10-24 10:20:06
Case5,W_Complete application,res_86681777-c04c-4357-abea-9dda7dedfc8d,Role 1,2016-10-24 10:21:23,1036,1,2016-10-24 10:20:39
Case13,W_Complete application,res_4ee2ae38-9597-46c1-9062-23a6bcc9c64d,Role 1,2016-10-24 10:27:18,1037,1,2016-10-24 10:25:06
Case10,W_Complete application,res_4ee2ae38-9597-46c1-9062-23a6bcc9c64d,Role 1,2016-10-24 10:27:36,1038,2,2016-10-24 10:25:24
Case10,W_Handle leads,res_6a514bb1-f63b-4750-ae3a-236feb5f9abf,Role 1,2016-10-24 10:27:56,1038,0,2016-10-24 10:27:41
Case11,W_Complete application,res_5289c3c8-d18c-4b00-a71e-4046949a1316,Role 1,2016-10-24 10:30:08,1039,1,2016-10-24 10:27:56
Case10,W_Complete application,res_5289c3c8-d18c-4b00-a71e-4046949a1316,Role 1,2016-10-24 10:30:48,1039,2,2016-10-24 10:28:01
