caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case4,W_Complete application,res_0ec8dcea-00c7-4cae-bce4-8edc747d8b5d,Role 1,2016-10-24 09:23:57,1030,1,2016-10-24 09:21:45
Case6,W_Complete application,res_4ccc09b9-b291-47b4-a465-6ae50c330684,Role 1,2016-10-24 09:27:26,1031,1,2016-10-24 09:25:14
Case8,W_Complete application,res_16300e77-b569-49c7-abb8-e92e72acacb9,Role 1,2016-10-24 09:29:54,1032,1,2016-10-24 09:27:42
Case9,W_Complete application,res_16300e77-b569-49c7-abb8-e92e72acacb9,Role 1,2016-10-24 09:30:11,1033,2,2016-10-24 09:27:59
Case7,W_Call after offers,res_a0d4f302-96f1-40a7-b356-8b9ad9053d22,Role 1,2016-10-24 09:35:29,1034,1,2016-10-24 09:33:18
Case1,W_Complete application,res_21463507-0869-4f20-b783-2a0eb9b4e6e5,Role 1,2016-10-24 09:42:58,1034,1,2016-10-24 09:40:46
Case4,W_Complete application,res_f27fa65f-573c-4e17-8f3a-4da54fa1e18b,Role 1,2016-10-24 09:45:59,1034,1,2016-10-24 09:45:15
Case3,W_Complete application,res_f27fa65f-573c-4e17-8f3a-4da54fa1e18b,Role 1,2016-10-24 09:47:54,1035,2,2016-10-24 09:45:42
Case6,W_Complete application,res_74956af1-b931-4816-b0f6-8ad645b29ed6,Role 1,2016-10-24 09:49:27,1035,1,2016-10-24 09:48:43
Case8,W_Complete application,res_c9dd279d-f18a-4faa-b860-cc0e77d1fd75,Role 1,2016-10-24 09:50:37,1035,1,2016-10-24 09:49:53
Case9,W_Complete application,res_a0628a3d-a685-4f8f-ad33-842f121eae81,Role 1,2016-10-24 09:52:08,1035,1,2016-10-24 09:51:26
Case9,W_Handle leads,res_5da0d88d-ce71-464a-8572-3b664408a9c1,Role 1,2016-10-24 09:52:30,1035,0,2016-10-24 09:52:13
Case5,W_Complete application,res_4ccc09b9-b291-47b4-a465-6ae50c330684,Role 1,2016-10-24 09:56:51,1036,1,2016-10-24 09:54:39
Case1,W_Complete application,res_65eed7c2-c705-4488-a2d3-2f130c2d0d25,Role 1,2016-10-24 10:04:56,1036,1,2016-10-24 10:04:12
Case2,W_Complete application,res_891fddb5-d81d-4baf-b7fb-06611edf1408,Role 1,2016-10-24 10:07:29,1037,1,2016-10-24 10:05:17
Case12,W_Call after offers,res_631886bc-b528-4bc7-a938-c64c31971834,Role 1,2016-10-24 10:13:27,1038,1,2016-10-24 10:11:17
Case19,W_Handle leads,res_bcfff987-3510-4d1f-85b8-84ec547577c1,Role 1,2016-10-24 10:14:35,1038,0,2016-10-24 10:14:26
Case13,W_Call after offers,res_47f29801-3880-4212-9e39-ed494dd37336,Role 1,2016-10-24 10:21:18,1039,1,2016-10-24 10:19:08
Case13,W_Shortened completion,res_d7631e9b-eec9-4156-8a75-3af2d06e7ac7,Role 1,2016-10-24 10:22:28,1039,0,2016-10-24 10:21:23
Case10,W_Complete application,res_d7631e9b-eec9-4156-8a75-3af2d06e7ac7,Role 1,2016-10-24 10:24:27,1040,1,2016-10-24 10:22:16
Case18,W_Complete application,res_fbb36dfa-3b54-4db1-a9d8-1e572c4334cd,Role 1,2016-10-24 10:27:55,1041,1,2016-10-24 10:25:43
Case18,W_Handle leads,res_e42dde0c-4707-4a6b-85ab-d723a41f9f5f,Role 1,2016-10-24 10:28:15,1041,0,2016-10-24 10:28:00
Case14,W_Complete application,res_1a45da00-8210-42a1-af0d-0e6bf33bb987,Role 1,2016-10-24 10:30:36,1042,2,2016-10-24 10:28:24
Case18,W_Complete application,res_9bd10dff-ce8d-42c8-94ce-4e43307d93f6,Role 1,2016-10-24 10:31:06,1041,1,2016-10-24 10:28:20
Case3,W_Call after offers,res_eecc7d5d-a8ed-47e7-9943-b7b20280b1de,Role 1,2016-10-24 10:31:49,1044,1,2016-10-24 10:31:08
Case11,W_Complete application,res_eecc7d5d-a8ed-47e7-9943-b7b20280b1de,Role 1,2016-10-24 10:32:18,1043,3,2016-10-24 10:30:06
Case15,W_Complete application,res_eecc7d5d-a8ed-47e7-9943-b7b20280b1de,Role 1,2016-10-24 10:33:13,1044,3,2016-10-24 10:31:01
Case9,W_Complete application,res_09eaced0-368a-4494-915c-df6b82055dc2,Role 1,2016-10-24 10:36:51,1044,1,2016-10-24 10:34:38
Case19,W_Complete application,res_09eaced0-368a-4494-915c-df6b82055dc2,Role 1,2016-10-24 10:38:13,1044,2,2016-10-24 10:35:46
Case5,W_Call after offers,res_f4b66d54-92c8-4632-960f-105d774567ee,Role 1,2016-10-24 10:40:47,1044,1,2016-10-24 10:40:04
Case10,W_Complete application,res_d7631e9b-eec9-4156-8a75-3af2d06e7ac7,Role 1,2016-10-24 10:46:20,1044,1,2016-10-24 10:45:36
Case14,W_Complete application,res_1bedeed0-978f-417d-8877-260cc1f78fda,Role 1,2016-10-24 10:49:57,1044,1,2016-10-24 10:49:15
Case2,W_Call after offers,res_1544c530-e029-49ce-b2fe-ebed06282a4d,Role 1,2016-10-24 10:51:23,1044,1,2016-10-24 10:50:40
Case11,W_Complete application,res_1d6a7530-432f-41cb-8747-b03dbb89368a,Role 1,2016-10-24 10:52:50,1044,1,2016-10-24 10:52:09
Case16,W_Call after offers,res_5f0bb6dd-470a-45b4-8ef0-2d8674cffb38,Role 1,2016-10-24 10:57:43,1045,1,2016-10-24 10:55:33
Case17,W_Complete application,res_8bb14b7a-1e13-4afa-9a9a-09e698da0f9c,Role 1,2016-10-24 11:07:07,1046,1,2016-10-24 11:04:56
Case15,W_Call after offers,res_99dbf9ab-ecb7-4738-a629-8bd8dd8fa301,Role 1,2016-10-24 11:16:51,1046,1,2016-10-24 11:16:12
Case25,W_Call after offers,res_132c7932-dd0e-40bc-96d5-870d5600ea1c,Role 1,2016-10-24 11:22:50,1047,1,2016-10-24 11:20:40
Case22,W_Complete application,res_132c7932-dd0e-40bc-96d5-870d5600ea1c,Role 1,2016-10-24 11:23:54,1048,1,2016-10-24 11:21:43
Case20,W_Call after offers,res_9b7befed-c868-401e-8fc7-3a3d58838353,Role 1,2016-10-24 11:30:38,1049,1,2016-10-24 11:28:28
Case24,W_Complete application,res_9b7befed-c868-401e-8fc7-3a3d58838353,Role 1,2016-10-24 11:30:52,1050,1,2016-10-24 11:28:41
Case21,W_Complete application,res_a0628a3d-a685-4f8f-ad33-842f121eae81,Role 1,2016-10-24 11:43:52,1051,1,2016-10-24 11:41:41
Case17,W_Call after offers,res_0e0bb9df-0780-444f-953c-48dfc3e9e578,Role 1,2016-10-24 11:50:44,1051,1,2016-10-24 11:50:02
Case26,W_Complete application,res_1d6a7530-432f-41cb-8747-b03dbb89368a,Role 1,2016-10-24 11:54:32,1052,1,2016-10-24 11:52:21
Case23,W_Complete application,res_1d6a7530-432f-41cb-8747-b03dbb89368a,Role 1,2016-10-24 11:56:26,1053,2,2016-10-24 11:54:14
Case21,W_Complete application,res_5590c125-39fe-4f3a-b5e2-74f159976f9d,Role 1,2016-10-24 12:05:35,1053,1,2016-10-24 12:04:52
Case22,W_Call after offers,res_11da6046-7917-45bc-860f-8b16c7ba8ba0,Role 1,2016-10-24 12:07:28,1053,1,2016-10-24 12:06:46
Case24,W_Call after offers,res_47017907-8c09-41c1-9c93-5970576cdbc8,Role 1,2016-10-24 12:14:23,1053,1,2016-10-24 12:13:41
Case23,W_Complete application,res_5f0bb6dd-470a-45b4-8ef0-2d8674cffb38,Role 1,2016-10-24 12:18:07,1053,1,2016-10-24 12:17:25
Case29,W_Complete application,res_1238e8d0-4e4d-4bd0-8bff-80aea0bc8172,Role 1,2016-10-24 12:19:54,1054,2,2016-10-24 12:17:42
Case34,W_Complete application,res_1238e8d0-4e4d-4bd0-8bff-80aea0bc8172,Role 1,2016-10-24 12:20:21,1055,2,2016-10-24 12:18:09
Case27,W_Complete application,res_7004aa0b-7726-4748-8d58-217e77fa398e,Role 1,2016-10-24 12:29:57,1056,1,2016-10-24 12:27:46
Case33,W_Call after offers,res_d9e9f355-c92c-41b6-91ea-a7738f2575ae,Role 1,2016-10-24 12:34:09,1057,1,2016-10-24 12:32:00
Case36,W_Complete application,res_9bd10dff-ce8d-42c8-94ce-4e43307d93f6,Role 1,2016-10-24 12:34:35,1058,1,2016-10-24 12:32:24
Case36,W_Handle leads,res_a0d4f302-96f1-40a7-b356-8b9ad9053d22,Role 1,2016-10-24 12:34:55,1058,0,2016-10-24 12:34:40
Case33,W_Shortened completion,res_cc6f8112-ac64-4a6c-9662-be1a1a934b2f,Role 1,2016-10-24 12:35:15,1058,0,2016-10-24 12:34:14
Case26,W_Call after offers,res_17c6b431-d8a1-407c-bd88-1e5c9f07ab4d,Role 1,2016-10-24 12:35:36,1058,1,2016-10-24 12:34:54
Case30,W_Complete application,res_17c6b431-d8a1-407c-bd88-1e5c9f07ab4d,Role 1,2016-10-24 12:37:28,1059,2,2016-10-24 12:35:17
Case36,W_Complete application,res_17c6b431-d8a1-407c-bd88-1e5c9f07ab4d,Role 1,2016-10-24 12:37:42,1058,1,2016-10-24 12:35:00
Case32,W_Complete application,res_eecc7d5d-a8ed-47e7-9943-b7b20280b1de,Role 1,2016-10-24 12:39:54,1060,1,2016-10-24 12:37:43
Case37,W_Complete application,res_eecc7d5d-a8ed-47e7-9943-b7b20280b1de,Role 1,2016-10-24 12:40:08,1061,2,2016-10-24 12:37:57
Case37,W_Handle leads,res_65eed7c2-c705-4488-a2d3-2f130c2d0d25,Role 1,2016-10-24 12:40:28,1061,0,2016-10-24 12:40:13
Case37,W_Complete application,res_473df82b-0639-44bf-8cde-0e857e1f8056,Role 1,2016-10-24 12:43:15,1061,1,2016-10-24 12:40:33
Case38,W_Handle leads,res_b1e5c9ea-1445-448b-9bd7-6388682eb64d,Role 1,2016-10-24 12:44:56,1062,0,2016-10-24 12:44:47
Case28,W_Complete application,res_df6b4a86-d72d-43a4-8ed6-e4116c1b1b0b,Role 1,2016-10-24 12:48:53,1063,1,2016-10-24 12:46:42
Case36,W_Handle leads,res_b83f6377-7681-43e7-8527-7f996049608b,Role 1,2016-10-24 12:52:04,1063,0,2016-10-24 12:51:42
Case35,W_Complete application,res_eeec2fbd-410d-49b1-ae50-bead2f9678e0,Role 1,2016-10-24 12:56:36,1064,1,2016-10-24 12:54:25
Case30,W_Complete application,res_14c2baef-c368-4478-97dc-bb3fcf7ba0b3,Role 1,2016-10-24 12:57:48,1064,1,2016-10-24 12:57:07
Case29,W_Call after offers,res_a0d4f302-96f1-40a7-b356-8b9ad9053d22,Role 1,2016-10-24 13:00:53,1064,1,2016-10-24 13:00:13
Case34,W_Call after offers,res_4e28ad44-29e9-45e7-a849-319e5ee86c70,Role 1,2016-10-24 13:03:44,1064,2,2016-10-24 13:03:01
Case31,W_Call after offers,res_4e28ad44-29e9-45e7-a849-319e5ee86c70,Role 1,2016-10-24 13:04:12,1064,1,2016-10-24 13:02:03
Case38,W_Complete application,res_b83f6377-7681-43e7-8527-7f996049608b,Role 1,2016-10-24 13:08:09,1064,1,2016-10-24 13:05:47
Case27,W_Call after offers,res_f6a7b4a3-dac6-4212-bf84-c65a5d2f9d25,Role 1,2016-10-24 13:13:17,1065,1,2016-10-24 13:12:35
Case45,W_Complete application,res_f6a7b4a3-dac6-4212-bf84-c65a5d2f9d25,Role 1,2016-10-24 13:14:29,1065,1,2016-10-24 13:12:18
Case42,W_Complete application,res_8bb14b7a-1e13-4afa-9a9a-09e698da0f9c,Role 1,2016-10-24 13:19:54,1066,1,2016-10-24 13:17:44
Case32,W_Call after offers,res_233bac93-a295-4648-9507-01fbc8d0b3a1,Role 1,2016-10-24 13:20:47,1067,2,2016-10-24 13:20:03
Case44,W_Call after offers,res_233bac93-a295-4648-9507-01fbc8d0b3a1,Role 1,2016-10-24 13:22:00,1067,1,2016-10-24 13:19:51
Case49,W_Complete application,res_e01aebd3-cd2b-4e12-b284-007867b5276b,Role 1,2016-10-24 13:29:16,1067,1,2016-10-24 13:27:06
Case36,W_Complete application,res_e01aebd3-cd2b-4e12-b284-007867b5276b,Role 1,2016-10-24 13:30:26,1067,2,2016-10-24 13:28:14
Case28,W_Call after offers,res_f1f19245-9604-4eb0-a164-9976bc218d66,Role 1,2016-10-24 13:32:01,1067,1,2016-10-24 13:31:19
Case51,W_Complete application,res_6eb506ba-fde1-465f-9b88-88f0407e3cc1,Role 1,2016-10-24 13:34:57,1067,1,2016-10-24 13:32:47
Case40,W_Complete application,res_6eb506ba-fde1-465f-9b88-88f0407e3cc1,Role 1,2016-10-24 13:36:34,1068,2,2016-10-24 13:34:23
Case35,W_Call after offers,res_f525fa9c-7b9b-4588-9902-f891f34e45d2,Role 1,2016-10-24 13:39:43,1068,1,2016-10-24 13:39:01
Case47,W_Complete application,res_a0628a3d-a685-4f8f-ad33-842f121eae81,Role 1,2016-10-24 13:43:00,1069,1,2016-10-24 13:40:50
