case:concept:name,concept:name,time:timestamp,org:resources,lifecyle:transition
1,Start,2012-03-02 15:07:57.012385,Start,start
1,Start,2012-03-02 15:07:57.012385,Start,complete
1,Turning,2012-03-02 15:07:57.012385,ID4932,start
1,Turning,2012-03-02 15:44:29.594778,ID4932,complete
1,Turning,2012-03-02 15:44:29.594778,ID4932,start
1,Turning,2012-03-03 02:38:27.835112,ID4932,complete
1,Turning,2012-03-03 02:38:27.835112,ID4167,start
1,Turning,2012-03-03 05:50:07.419471,ID4167,complete
1,Turning,2012-03-04 00:59:14.113672,ID4429,start
1,Turning,2012-03-04 06:18:39.896263,ID4429,complete
1,Turning,2012-03-04 06:18:39.896263,ID4932,start
1,Turning,2012-03-04 06:38:51.203837,ID4932,complete
1,Turning,2012-03-06 05:07:14.278224,ID4167,start
1,Turning,2012-03-06 11:52:08.066559,ID4167,complete
1,Turning Q.C.,2012-03-06 11:52:08.066559,ID4493,start
1,Turning Q.C.,2012-03-06 12:10:11.560250,ID4493,complete
1,Turning & Milling,2012-03-06 17:15:55.938913,ID4932,start
1,Turning & Milling,2012-03-07 01:25:09.464848,ID4932,complete
1,Turning & Milling,2012-03-07 15:57:08.816914,ID4167,start
1,Turning & Milling,2012-03-07 23:36:45.969011,ID4167,complete
1,Turning & Milling,2012-03-08 10:22:17.853619,ID4794,start
1,Turning,2012-03-08 10:31:17.853619,ID4794,start
1,Turning & Milling,2012-03-08 16:03:17.853619,ID4794,complete
1,Turning,2012-03-08 16:03:51.518057,ID4794,complete
1,Turning,2012-03-08 19:21:41.834218,ID4932,start
1,Turning & Milling,2012-03-09 02:41:41.834218,ID4932,start
1,Turning & Milling,2012-03-09 05:23:08.236877,ID4932,complete
1,Turning,2012-03-09 05:24:50.820527,ID4932,complete
1,Turning & Milling,2012-03-09 05:24:50.820527,ID4794,start
1,Turning & Milling,2012-03-09 06:59:28.925823,ID4794,complete
1,Turning & Milling,2012-03-09 20:16:03.026536,ID4167,start
1,Turning & Milling,2012-03-10 02:55:29.280937,ID4167,complete
1,Turning & Milling,2012-03-10 02:55:29.280937,ID4932,start
1,Turning & Milling,2012-03-10 11:59:32.090959,ID4932,complete
1,Turning & Milling Q.C.,2012-03-12 17:48:21.489119,ID4493,start
1,Turning & Milling Q.C.,2012-03-12 18:04:34.062256,ID4493,complete
1,Laser Marking,2012-03-15 15:33:31.311007,ID0998,start
1,Laser Marking,2012-03-15 16:02:48.274905,ID0998,complete
1,Laser Marking,2012-03-15 16:02:48.274905,ID4882,start
1,Laser Marking,2012-03-15 16:02:48.274905,ID4882,complete
1,Turning & Milling,2012-03-16 02:04:26.564260,ID4167,start
1,Turning & Milling Q.C.,2012-03-16 02:14:50.400810,ID4493,start
1,Turning & Milling Q.C.,2012-03-16 02:14:50.400810,ID4493,start
1,Turning & Milling Q.C.,2012-03-16 03:11:48.442280,ID4493,complete
1,Turning & Milling,2012-03-16 04:18:13.929270,ID4167,complete
1,Turning & Milling,2012-03-16 04:18:13.929270,ID4167,start
1,Turning & Milling Q.C.,2012-03-16 04:43:33.757611,ID4493,complete
1,Laser Marking,2012-03-18 00:37:19.872265,ID0998,start
1,Laser Marking,2012-03-18 01:48:15.196200,ID0998,complete
1,End,2012-03-18 01:48:15.196200,End,start
1,End,2012-03-18 01:48:15.196200,End,complete
1,Turning & Milling,2012-03-18 03:18:51.162337,ID4167,complete
2,Start,2012-04-14 15:40:02.488106,Start,start
2,Start,2012-04-14 15:40:02.488106,Start,complete
2,Turning & Milling Q.C.,2012-04-14 15:40:02.488106,ID4163,start
2,Turning & Milling Q.C.,2012-04-14 16:47:33.610447,ID4163,complete
2,Turning & Milling,2012-04-16 11:34:15.849825,ID4429,start
2,Turning & Milling,2012-04-16 13:21:58.538048,ID4429,complete
2,Turning & Milling,2012-04-18 17:19:13.664989,ID4932,start
2,Turning & Milling,2012-04-18 18:52:51.608014,ID4932,complete
2,Turning & Milling,2012-04-18 21:23:40.967543,ID4429,start
2,Turning & Milling Q.C.,2012-04-18 22:02:04.618606,ID4163,start
2,Turning & Milling,2012-04-18 23:31:39.564352,ID4429,complete
2,Turning & Milling,2012-04-19 02:54:56.936435,ID4429,start
2,Turning & Milling Q.C.,2012-04-19 02:54:56.936435,ID4163,complete
2,Turning & Milling Q.C.,2012-04-19 02:54:56.936435,ID4287,start
2,Turning & Milling Q.C.,2012-04-19 02:54:56.936435,ID4287,complete
2,Turning & Milling,2012-04-19 09:14:12.398711,ID4429,complete
2,Turning & Milling,2012-04-19 13:17:39.551927,ID4932,start
2,Turning & Milling,2012-04-19 14:01:39.518729,ID4932,complete
2,Turning & Milling,2012-04-19 14:01:39.518729,ID4932,start
2,Turning & Milling,2012-04-19 15:21:40.519456,ID4932,complete
2,Turning & Milling,2012-04-19 18:34:11.215302,ID4429,start
2,Turning & Milling,2012-04-20 02:53:58.093294,ID4429,complete
2,Turning & Milling,2012-04-20 06:31:45.644573,ID4529,start
2,Turning & Milling,2012-04-20 09:28:03.352430,ID4529,complete
2,Turning & Milling,2012-04-20 11:43:41.144324,ID4529,start
2,Turning & Milling,2012-04-20 16:25:38.518000,ID4529,complete
2,Turning & Milling,2012-04-20 17:01:00.562319,ID4641,start
2,Turning & Milling,2012-04-20 17:01:00.562319,ID4641,complete
2,Turning & Milling,2012-04-21 00:44:04.412272,ID4932,start
2,Turning & Milling,2012-04-21 02:03:57.828233,ID4932,complete
2,Turning & Milling Q.C.,2012-04-21 10:56:52.233960,ID4163,start
2,Turning & Milling Q.C.,2012-04-21 12:36:05.445644,ID4163,complete
2,Turning & Milling Q.C.,2012-04-22 10:07:20.550249,ID4163,start
2,Turning & Milling Q.C.,2012-04-22 10:34:51.105890,ID4163,complete
2,Turning & Milling Q.C.,2012-04-22 10:34:51.105890,ID4163,start
2,Turning & Milling Q.C.,2012-04-22 10:40:36.823096,ID4163,complete
2,Turning & Milling Q.C.,2012-04-22 10:40:36.823096,ID4163,start
2,Turning & Milling Q.C.,2012-04-22 12:38:37.590591,ID4163,complete
2,Turning & Milling Q.C.,2012-04-23 19:26:43.480084,ID4163,start
2,Turning & Milling Q.C.,2012-04-23 20:21:40.789375,ID4163,complete
2,Turning & Milling Q.C.,2012-04-23 20:21:40.789375,ID4163,start
2,Turning & Milling Q.C.,2012-04-23 22:25:33.713987,ID4163,complete
2,Turning & Milling,2012-04-25 19:46:29.180107,ID4429,start
2,Laser Marking,2012-04-25 22:02:21.381345,ID4445,start
2,Laser Marking,2012-04-25 22:16:26.670070,ID4445,complete
2,Turning & Milling,2012-04-26 01:38:20.423104,ID4429,complete
2,Lapping,2012-05-24 16:40:27.442982,ID0998,start
2,Lapping,2012-05-24 17:18:07.425085,ID0998,complete
2,Lapping,2012-05-25 07:29:32.469285,ID0998,start
2,Lapping,2012-05-25 07:46:55.011729,ID4882,start
2,Lapping,2012-05-25 08:46:11.850851,ID0998,complete
