caseid,task,start_timestamp,end_timestamp
Case000,Create Purchase Order,2021-02-20 16:22:24.686272,2021-02-20 16:22:24.686272
Case000,Send Invoice,2021-02-20 03:08:31.362984,2021-02-20 03:08:31.362984
Case000,Create Purchase Requisition,2021-02-19 23:37:57.094760,2021-02-20 03:05:09.737363
Case000,Create Purchase Requisition,2021-02-19 23:37:57.094760,2021-02-19 23:37:57.094760
Case000,Settle Dispute With Supplier,2021-02-19 12:17:16.955467,2021-02-19 15:50:57.954040
Case000,Create Request for Quotation,2021-02-18 17:17:14.584823,2021-02-18 17:17:14.584823
Case000,Release Purchase Order,2021-02-18 10:25:21.552744,2021-02-18 16:09:40.639401
Case000,Send Invoice,2021-02-18 07:30:51.967206,2021-02-18 10:25:21.552744
Case000,Analyze Request for Quotation,2021-02-18 07:30:51.967206,2021-02-18 07:30:51.967206
Case000,Release Supplier's Invoice,2021-02-18 07:30:51.967206,2021-02-18 07:30:51.967206
Case000,Settle Conditions With Supplier,2021-02-19 23:37:57.094760,2021-02-19 23:37:57.094760
Case000,Create Purchase Requisition,2021-02-17 09:51:12.504916,2021-02-17 14:04:57.010388
Case000,Settle Conditions With Supplier,2021-02-17 14:04:57.010388,2021-02-17 14:04:57.010388
Case000,Settle Conditions With Supplier,2021-02-14 04:46:33.247475,2021-02-14 04:46:33.247475
Case000,Create Purchase Order,2021-02-14 04:46:33.247475,2021-02-14 11:02:25.929493
Case000,Release Supplier's Invoice,2021-02-14 21:37:43.803448,2021-02-15 02:42:02.303166
Case000,Create Quotation comparison Map,2021-02-15 02:42:02.303166,2021-02-15 06:41:42.210202
Case000,Pay Invoice,2021-02-15 02:42:02.303166,2021-02-15 02:42:02.303166
Case000,Deliver Goods Services,2021-02-15 06:41:42.210202,2021-02-15 06:41:42.210202
Case000,Analyze Purchase Requisition,2021-02-15 06:41:42.210202,2021-02-15 06:41:42.210202
Case000,Amend Request for Quotation,2021-02-16 01:14:32.472539,2021-02-16 01:14:32.472539
Case000,Release Supplier's Invoice,2021-02-16 01:14:32.472539,2021-02-16 01:14:32.472539
Case000,Analyze Quotation Comparison Map,2021-02-16 21:43:29.465947,2021-02-17 01:49:08.949065
Case001,Choose best option,2021-02-20 19:06:46.660380,2021-02-20 20:51:49.777751
Case001,Amend Request for Quotation,2021-02-19 01:03:05.229435,2021-02-19 09:01:34.451466
Case001,Send Request for Quotation to Supplier,2021-02-18 17:17:14.584823,2021-02-18 21:46:36.698728
Case001,Settle Conditions With Supplier,2021-02-19 15:50:57.954040,2021-02-19 15:50:57.954040
Case001,Settle Dispute With Supplier,2021-02-18 12:13:55.623064,2021-02-18 12:13:55.623064
Case001,Approve Purchase Order for payment,2021-02-20 03:27:25.754256,2021-02-20 03:27:25.754256
Case001,Create Quotation comparison Map,2021-02-13 15:19:27.976441,2021-02-14 01:09:54.669499
Case001,Choose best option,2021-02-20 03:08:31.362984,2021-02-20 07:25:31.252148
Case001,Authorize Supplier's Invoice payment,2021-02-20 23:36:24.457161,2021-02-20 23:36:24.457161
Case001,Create Request for Quotation,2021-02-21 12:50:33.961251,2021-02-22 06:59:59.403527
Case001,Amend Purchase Requisition,2021-02-13 12:20:03.641765,2021-02-13 12:20:03.641765
Case001,Confirm Purchase Order,2021-02-18 18:37:21.767278,2021-02-18 22:11:00.336414
Case001,Analyze Request for Quotation,2021-02-20 03:05:09.737363,2021-02-20 10:31:48.569112
Case001,Analyze Purchase Requisition,2021-02-15 11:45:25.622763,2021-02-15 15:40:53.110327
Case001,Amend Request for Quotation,2021-02-17 17:19:36.800265,2021-02-17 17:22:00.888319
Case001,Release Purchase Order,2021-02-17 14:04:57.010388,2021-02-17 23:13:36.943516
Case001,Create Purchase Order,2021-02-13 12:20:03.603043,2021-02-13 12:20:03.603043
Case001,Choose best option,2021-02-15 03:22:56.694359,2021-02-15 03:22:56.694359
