caseid,task,start_timestamp,end_timestamp
Case000,Create Purchase Order,2021-02-20 16:22:43.025579,2021-02-20 16:22:43.025579
Case000,Send Invoice,2021-02-20 03:08:49.702291,2021-02-20 03:08:49.702291
Case000,Create Purchase Requisition,2021-02-19 23:38:15.434067,2021-02-20 03:05:28.076670
Case000,Create Purchase Requisition,2021-02-19 23:38:15.434067,2021-02-19 23:38:15.434067
Case000,Settle Dispute With Supplier,2021-02-19 12:17:35.294774,2021-02-19 15:51:16.293347
Case000,Create Request for Quotation,2021-02-18 17:17:32.924130,2021-02-18 17:17:32.924130
Case000,Release Purchase Order,2021-02-18 10:25:39.892051,2021-02-18 16:09:58.978708
Case000,Send Invoice,2021-02-18 07:31:10.306513,2021-02-18 10:25:39.892051
Case000,Analyze Request for Quotation,2021-02-18 07:31:10.306513,2021-02-18 07:31:10.306513
Case000,Release Supplier's Invoice,2021-02-18 07:31:10.306513,2021-02-18 07:31:10.306513
Case000,Settle Conditions With Supplier,2021-02-19 23:38:15.434067,2021-02-19 23:38:15.434067
Case000,Create Purchase Requisition,2021-02-17 09:51:30.844223,2021-02-17 14:05:15.349695
Case000,Settle Conditions With Supplier,2021-02-17 14:05:15.349695,2021-02-17 14:05:15.349695
Case000,Settle Conditions With Supplier,2021-02-14 04:46:51.586782,2021-02-14 04:46:51.586782
Case000,Create Purchase Order,2021-02-14 04:46:51.586782,2021-02-14 11:02:44.268800
Case000,Release Supplier's Invoice,2021-02-14 21:38:02.142755,2021-02-15 02:42:20.642473
Case000,Create Quotation comparison Map,2021-02-15 02:42:20.642473,2021-02-15 06:42:00.549509
Case000,Pay Invoice,2021-02-15 02:42:20.642473,2021-02-15 02:42:20.642473
Case000,Deliver Goods Services,2021-02-15 06:42:00.549509,2021-02-15 06:42:00.549509
Case000,Analyze Purchase Requisition,2021-02-15 06:42:00.549509,2021-02-15 06:42:00.549509
Case000,Amend Request for Quotation,2021-02-16 01:14:50.811846,2021-02-16 01:14:50.811846
Case000,Release Supplier's Invoice,2021-02-16 01:14:50.811846,2021-02-16 01:14:50.811846
Case000,Analyze Quotation Comparison Map,2021-02-16 21:43:47.805254,2021-02-17 01:49:27.288372
Case001,Choose best option,2021-02-20 19:07:04.999687,2021-02-20 20:52:08.117058
Case001,Amend Request for Quotation,2021-02-19 01:03:23.568742,2021-02-19 09:01:52.790773
Case001,Send Request for Quotation to Supplier,2021-02-18 17:17:32.924130,2021-02-18 21:46:55.038035
Case001,Settle Conditions With Supplier,2021-02-19 15:51:16.293347,2021-02-19 15:51:16.293347
Case001,Settle Dispute With Supplier,2021-02-18 12:14:13.962371,2021-02-18 12:14:13.962371
Case001,Approve Purchase Order for payment,2021-02-20 03:27:44.093563,2021-02-20 03:27:44.093563
Case001,Create Quotation comparison Map,2021-02-13 15:19:46.315748,2021-02-14 01:10:13.008806
Case001,Choose best option,2021-02-20 03:08:49.702291,2021-02-20 07:25:49.591455
Case001,Authorize Supplier's Invoice payment,2021-02-20 23:36:42.796468,2021-02-20 23:36:42.796468
Case001,Create Request for Quotation,2021-02-21 12:50:52.300558,2021-02-22 07:00:17.742834
Case001,Amend Purchase Requisition,2021-02-13 12:20:21.942676,2021-02-13 12:20:21.942676
Case001,Confirm Purchase Order,2021-02-18 18:37:40.106585,2021-02-18 22:11:18.675721
Case001,Analyze Request for Quotation,2021-02-20 03:05:28.076670,2021-02-20 10:32:06.908419
Case001,Analyze Purchase Requisition,2021-02-15 11:45:43.962070,2021-02-15 15:41:11.449634
Case001,Amend Request for Quotation,2021-02-17 17:19:55.139572,2021-02-17 17:22:19.227626
Case001,Release Purchase Order,2021-02-17 14:05:15.349695,2021-02-17 23:13:55.282823
Case001,Create Purchase Order,2021-02-13 12:20:21.942350,2021-02-13 12:20:21.942350
Case001,Choose best option,2021-02-15 03:23:15.033666,2021-02-15 03:23:15.033666
Case001,Choose best option,2021-02-14 11:02:44.268800,2021-02-14 12:13:08.230118
